"IDs","Arabinose","Galactose","Glucose","Xylose","Mannose","insoluble.lignin","soluble.lignin","holocellulose","alpha.cellulose","hemicellulose","Syringyl.lignin.monomers....","Fiber.length.Lw..length.weighted.","MFA..first.growth.ring.from.bark.","MFA..first.growth.ring.from.pith.","X.crystallinity..w_c.","average.wood.density","total.lignin"
"ALAA-20-1",0.705209383,0.603502193,50.70860436,17.44827507,2.618438953,17.8807947,1.851732253,72.91066282,43.12504542,29.7856174,72.92,0.899,17.61,20.36,52.63,396.34,19.73252696
"ALAA-20-2",0.657141488,0.655859433,51.19198421,16.68678994,3.25023801,17.83681214,1.973865793,69.82364468,41.73601,28.08763468,72.88,0.95,14.37,17.13,48.08,417.47,19.81067794
"ALAA-20-3",0.554965614,0.636149591,48.70836659,17.16022759,3.022547568,18.14569536,2.062522577,69.9120603,41.50622342,28.40583688,79.23,0.809,14.01,14.37,53.76,375.39,20.20821794
"ALAA-20-4",0.576564639,0.59118759,49.59905365,16.21229279,2.948205121,18.65814696,1.710136509,69.43498979,41.43406575,28.00092404,76.17,0.972,14.01,14.61,48.08,356.47,20.36828347
"ALAA-20-5",0.568272257,0.576861025,49.84283607,16.30655607,2.89591456,18.70640457,2.094223785,65.20467836,40.73279329,24.47188508,76.17,0.933,13.77,15.57,52.08,400.32,20.80062835
"BELA-18-1",0.660386468,0.723705518,49.63362084,17.88974991,2.772337462,19.03743316,1.659309674,70.80656674,42.97100214,27.8355646,71.45,0.907,19.88,20,52.91,485.07,20.69674283
"BELA-18-2",0.665868085,0.650469182,48.54093673,15.85723305,3.63566202,18.68327402,1.766607355,68.80239521,42.82122733,25.98116788,74.57,0.443,14.37,18.68,53.19,440.47,20.44988138
"BELA-18-3",0.629086728,0.621284117,49.64875649,15.79515738,2.416995763,17.83088235,1.914104278,68.04822909,39.75425544,28.29397364,72.44,1.038,12.81,18.92,52.91,413.43,19.74498663
"BELA-18-4",0.485595509,0.879465999,60.01473324,15.36937908,2.609709477,13.625,1.838693182,74.50462351,48.52185318,25.98277033,72.76,0.791,18.32,20.6,53.19,528.23,15.46369318
"BELA-18-5",0.783748159,0.677652364,48.09097843,18.15687308,3.029777992,17.65079365,1.627590188,71.61422709,43.2705635,28.34366359,74.48,0.798,14.01,18.44,49.02,434.22,19.27838384
"BELC-18-1",0.768361877,0.5897426,48.61526341,18.00482933,2.695930127,18.1369525,1.531742471,62.82527881,37.1336738,25.69160501,71.92,0.901,17.73,17.49,49.26,423.92,19.66869497
"BELC-18-2",0.434362724,0.678861342,54.10595884,16.78022699,2.98041479,15.42449773,2.022476875,71.72330097,45.48562691,26.23767406,74.82,0.847,14.73,15.45,54.35,402.26,17.44697461
"BELC-18-3",0.806379081,0.712312496,45.81880184,17.53317363,3.136516162,19.45701357,2.417317976,69.1109669,40.07923216,29.03173474,73.28,0.873,12.93,17.96,51.55,408.17,21.87433155
"BELC-18-4",0.736234122,0.707830482,50.13065745,17.05153778,2.732304737,18.63580999,2.125290665,68.87608069,42.20287057,26.67321012,72.85,0.707,14.01,19.88,48.08,432.75,20.76110065
"BLCG-28-1",0.701005355,0.726520863,48.50222382,17.83979323,2.934166586,17.52336449,1.642682668,67.53424658,40.43415284,27.10009374,72.43,0.924,17.61,18.32,46.08,404.9,19.16604715
"BLCG-28-3",0.68590371,0.658484397,48.20609255,18.02771017,3.247962337,18.78354204,1.562259446,68.66118175,39.70213666,28.95904509,68.37,0.609,16.89,16.77,43.48,360.89,20.34580149
"CARS-29-3",0.65069127,0.687851554,48.12251396,17.19241819,3.140035727,18.48145968,2.132136551,71.4953271,41.73131493,29.76401217,68.25,0.444,19.04,19.4,46.51,435.34,20.61359623
"CARS-29-4",0.626510053,0.764052464,51.06707087,17.52350437,2.836536327,17.73329934,2.390773106,68.63821649,40.77622267,27.86199381,69.23182909,0.7195,14.67076875,18.68365,53.45022624,385.38,20.12407244
"CHKC-19-1",0.594965963,0.646622663,50.91360852,18.68137132,3.105689504,20.26599113,2.362369739,69.62264151,41.50601986,28.11662165,73.1,0.983,18.2,18.56,54.35,404.76,22.62836087
"CHKC-19-2",0.60647129,0.549598575,50.35992106,18.3569837,3.06808627,19.2330737,2.265047116,66.59108088,38.98694067,27.60414021,71.86,0.839,18.68,22.4,53.76,438,21.49812081
"CHKC-19-3",0.577875608,0.569645771,51.06404854,17.81474691,2.688696798,20.1885746,2.180204709,70.51363348,41.55413511,28.95949837,71.83,0.662,18.44,20.12,46.3,388.77,22.36877931
"CHKC-19-4",0.663427925,0.651732996,52.05969048,18.3441677,3.062104548,18.64089776,2.312514169,71.06796117,42.71785759,28.35010358,73.97,1.094,16.89,17.96,52.63,431.91,20.95341192
"CHKD-19-1",0.512158244,0.537336444,52.06030486,20.04239387,3.164133778,17.91639018,2.342733908,73.49081365,41.69979128,31.79102236,73.47,0.676,16.41,21.2,57.8,445.96,20.25912409
"CHKD-19-2",0.536157891,0.697625288,56.05190006,16.52141701,2.701342221,16.79012346,2.100589226,70.77114428,42.26039669,28.51074759,73.5,0.756,21.2,21.44,51.28,432.69,18.89071268
"CHKD-19-3",0.595941187,0.565689483,50.4921284,16.84751357,2.887908414,19.60912052,1.819159017,67.4571805,39.68814656,27.76903394,72.28,0.867,17.37,20.36,53.19,421.94,21.42827954
"CHKD-19-4",0.55191309,0.746112901,54.24914577,17.70131825,2.973030815,20.45454545,2.306732094,71.36422136,42.80543034,28.55879103,76.94,0.679,20.12,20.24,58.14,426.11,22.76127755
"CHKD-19-5",0.424146533,0.48661462,47.57559382,19.36927537,3.061964939,20.44444444,2.293362193,72.4881996,38.83620268,33.65199691,73.05,0.764,18.56,19.88,51.02,409.77,22.73780664
"CHWH-27-1",0.447006698,0.652854305,51.99427753,17.5346527,3.349041001,20.81185567,2.183868322,72.24036577,42.36675781,29.87360796,70.05,0.619,14.13,15.69,52.08,388.4,22.99572399
"CHWH-27-3",0.533546853,0.677519382,52.68937424,17.28947266,2.803451963,20.08271494,2.343046756,69.03796352,40.39378111,28.64418241,72.22253164,0.901,17.72535,19.0430125,49.92778525,380.44,22.4257617
"CHWH-27-5",0.551066374,0.606235489,52.33178326,17.90633007,2.620282205,20.2268431,2.255599473,72.18406593,42.55384578,29.63022015,73.13,0.979,17.37,21.56,50,355.79,22.48244257
"CHWI-27-4",0.549468477,0.751134995,52.38875971,18.51240371,3.053273987,19.63613551,1.999087487,67.60982874,41.06836393,26.54146482,73.34,0.95,12.45,19.04,50.51,434.82,21.635223
"CHWJ-27-1",0.614229486,0.721419076,53.19573486,17.42751286,2.634723988,19.67320261,2.233719548,67.11538462,41.22669576,25.88868886,71.76,0.805,21.08,20.96,44.44,387.02,21.90692216
"CHWK-27-2",0.547456644,0.463641183,49.06897472,19.6935294,2.969279552,18.87026691,1.946193781,70.20348837,41.46020222,28.74328615,70.38,0.872,16.05,18.32,52.36,358.88,20.8164607
"CHWK-27-3",0.647449409,0.585715106,45.88157891,19.47136461,3.567523331,18.49677041,2.105642449,68.14516129,40.01521769,28.1299436,72.89,0.828,17.25,20.12,49.26,399.74,20.60241285
"CHWK-27-4",0.521863984,0.601140775,50.53011668,19.05697147,3.379036485,19.88832346,2.105612069,70.63855794,41.41739815,29.22115979,70.42213863,0.8675,16.2879,19.7617375,52.15265517,409.98,21.99393553
"CMBF-28-1",0.506253835,0.568702673,52.66209305,17.60768997,2.123039757,17.07768187,1.809242237,68.7585266,41.15252238,27.60600422,68.64,0.954,14.01,20.36,50,420.15,18.88692411
"CMBF-28-2",0.581572584,0.559708578,47.5176074,19.70344284,2.605210942,18.45386534,2.010740195,68.36236934,40.92987648,27.43249286,71.89,0.935,16.77,17.13,53.48,437.35,20.46460553
